name,email,department name,phone number,role
Numbers Meadows,bladerunnerperftest275@mailinator.com,Office of the Mayor,311,Agency Administrator
Toshia Rimmer,bladerunnerperftest276@mailinator.com,Office of the Mayor,311,Agency Administrator
Sandee Gatewood,bladerunnerperftest277@mailinator.com,Office of the Mayor,311,Agency Administrator
Perla Tighe,bladerunnerperftest278@mailinator.com,Office of the Mayor,311,Agency Administrator
Elijah Chock,bladerunnerperftest279@mailinator.com,Office of the Mayor,311,Agency FOIL Officer
Altha Mckean,bladerunnerperftest280@mailinator.com,Office of the Mayor,311,Agency FOIL Officer
Ryan Fee,bladerunnerperftest281@mailinator.com,Office of the Mayor,311,Agency FOIL Officer
Chanelle Christain,bladerunnerperftest282@mailinator.com,Office of the Mayor,311,Agency FOIL Officer
Genevive Marquardt,bladerunnerperftest283@mailinator.com,Office of the Mayor,311,Agency FOIL Officer
Elizebeth Clauss,bladerunnerperftest284@mailinator.com,Office of the Mayor,311,Agency FOIL Officer
Mario Balli,bladerunnerperftest285@mailinator.com,Office of the Mayor,311,Agency FOIL Officer
Kasha Billing,bladerunnerperftest286@mailinator.com,Office of the Mayor,311,Agency FOIL Officer
Juliette Mccaffrey,bladerunnerperftest287@mailinator.com,Office of the Mayor,311,Agency FOIL Officer
Elaina Pendelton,bladerunnerperftest288@mailinator.com,Office of the Mayor,311,Agency FOIL Officer
Chet Lao,bladerunnerperftest289@mailinator.com,Office of the Mayor,311,Agency FOIL Officer
Danna Brink,bladerunnerperftest290@mailinator.com,Office of the Mayor,311,Agency Helpers
Daniel Ankrom,bladerunnerperftest291@mailinator.com,Office of the Mayor,311,Agency Helpers
Alta Belvins,bladerunnerperftest292@mailinator.com,Office of the Mayor,311,Agency Helpers
Priscilla Gaetano,bladerunnerperftest293@mailinator.com,Office of the Mayor,311,Agency Helpers
Eli Braley,bladerunnerperftest294@mailinator.com,Office of the Mayor,311,Agency Helpers
Hisako Drayton,bladerunnerperftest295@mailinator.com,Office of the Mayor,311,Agency Helpers
Christen Musil,bladerunnerperftest296@mailinator.com,Office of the Mayor,311,Agency Helpers
Edyth Magruder,bladerunnerperftest297@mailinator.com,Office of the Mayor,311,Agency Helpers
Pura Hillier,bladerunnerperftest298@mailinator.com,Office of the Mayor,311,Agency Helpers
Aide Simas,bladerunnerperftest299@mailinator.com,Office of the Mayor,311,Agency Helpers
Dagny Crisman,bladerunnerperftest300@mailinator.com,Office of the Mayor,311,Agency Helpers
Johnnie Suarez,bladerunnerperftest301@mailinator.com,Administration for Children's Services,311,Agency Administrator
Matilde Cybart,bladerunnerperftest302@mailinator.com,Art Commission,311,Agency Administrator
Marlo Corwin,bladerunnerperftest303@mailinator.com,Board of Correction,311,Agency Administrator
Darrel Mcfalls,bladerunnerperftest304@mailinator.com,Board of Standards and Appeals,311,Agency Administrator
Lynnette Lochner,bladerunnerperftest305@mailinator.com,Business Integrity Commission,311,Agency Administrator
Charisse Deaver,bladerunnerperftest306@mailinator.com,Civil Service Commission,311,Agency Administrator
Yuki Bankes,bladerunnerperftest307@mailinator.com,Civilian Complaint Review Board,311,Agency Administrator
Melodee Amyx,bladerunnerperftest308@mailinator.com,Commission to Combat Police Corruption,311,Agency Administrator
Ranee Hegland,bladerunnerperftest309@mailinator.com,Conflicts of Interest Board,311,Agency Administrator
Millie Vorce,bladerunnerperftest310@mailinator.com,Department for the Aging,311,Agency Administrator
Dee Vanvliet,bladerunnerperftest311@mailinator.com,Department of Buildings,311,Agency Administrator
Lorita Mogan,bladerunnerperftest312@mailinator.com,Department of City Planning,311,Agency Administrator
Genia Choquette,bladerunnerperftest313@mailinator.com,Department of Citywide Administrative Services,311,Agency Administrator
Angelita Paschall,bladerunnerperftest314@mailinator.com,Department of Consumer Affairs,311,Agency Administrator
Tequila Ruvolo,bladerunnerperftest315@mailinator.com,Department of Correction,311,Agency Administrator
Carlotta Truax,bladerunnerperftest316@mailinator.com,Department of Cultural Affairs,311,Agency Administrator
Birgit Heredia,bladerunnerperftest317@mailinator.com,Department of Design and Construction,311,Agency Administrator
Chieko Frenz,bladerunnerperftest318@mailinator.com,Department of Environmental Protection,311,Agency Administrator
Bronwyn Lauffer,bladerunnerperftest319@mailinator.com,Department of Finance,311,Agency Administrator
Traci Alsop,bladerunnerperftest320@mailinator.com,Department of Health and Mental Hygiene,311,Agency Administrator
Alanna Plants,bladerunnerperftest321@mailinator.com,Department of Homeless Services,311,Agency Administrator
Deangelo Keiper,bladerunnerperftest322@mailinator.com,Department of Housing Preservations and Development,311,Agency Administrator
Dia Byham,bladerunnerperftest323@mailinator.com,Department of Investigation,311,Agency Administrator
Talisha Turnbough,bladerunnerperftest324@mailinator.com,Department of Parks and Recreation,311,Agency Administrator
Edwin Pineiro,bladerunnerperftest325@mailinator.com,Department of Probation,311,Agency Administrator
Odelia Radley,bladerunnerperftest326@mailinator.com,Department of Transporation,311,Agency Administrator
Nenita Arteaga,bladerunnerperftest327@mailinator.com,Department of Youth and Community Development,311,Agency Administrator
Danille Cygan,bladerunnerperftest328@mailinator.com,Design Commission,311,Agency Administrator
Ray Boze,bladerunnerperftest329@mailinator.com,Equal Employment Practices Commission,311,Agency Administrator
Gilbert Lasker,bladerunnerperftest330@mailinator.com,Health and Hospitals Corporation,311,Agency Administrator
Delora Mcconico,bladerunnerperftest331@mailinator.com,Housing Recovery Operations,311,Agency Administrator
Rossie Minter,bladerunnerperftest332@mailinator.com,Human Resources Administration,311,Agency Administrator
Chanel Varian,bladerunnerperftest333@mailinator.com,Landmarks Preservation Commission,311,Agency Administrator
Josphine Forshee,bladerunnerperftest334@mailinator.com,Law Department,311,Agency Administrator
Shavon Cannady,bladerunnerperftest335@mailinator.com,Loft Board,311,Agency Administrator
Dacia Rogowski,bladerunnerperftest336@mailinator.com,New York City Fire Department,311,Agency Administrator
Neoma Considine,bladerunnerperftest337@mailinator.com,New York City Housing Authority,311,Agency Administrator
Toney Accardi,bladerunnerperftest338@mailinator.com,Office of Environmental Remediation,311,Agency Administrator
Dusty Pursell,bladerunnerperftest339@mailinator.com,Office of Labor Relations,311,Agency Administrator
Elva Hsu,bladerunnerperftest340@mailinator.com,Office of Long-Term Planning & Sustainability,311,Agency Administrator
Dorthea Vanbrunt,bladerunnerperftest341@mailinator.com,Office of Management and Budget,311,Agency Administrator
Cary Merino,bladerunnerperftest342@mailinator.com,Office of Payroll Administration,311,Agency Administrator
Brittny Goldschmidt,bladerunnerperftest343@mailinator.com,Office of the Actuary,311,Agency Administrator
Maile Crowther,bladerunnerperftest344@mailinator.com,Office of the Special Narcotics Prosecutor,311,Agency Administrator
Arnold Henline,bladerunnerperftest345@mailinator.com,Police Department,311,Agency Administrator
Tammara Mosca,bladerunnerperftest346@mailinator.com,Procurement Policy Board,311,Agency Administrator
Ming Stampley,bladerunnerperftest347@mailinator.com,School Construction Authority,311,Agency Administrator
Dominic Mccaskey,bladerunnerperftest348@mailinator.com,Small Business Services,311,Agency Administrator
